versions,an_type,mo_type,proportion,count,color
CS7,refactored_rename,body,0.0,0,#48D373
CS7,refactored_rename,deleted,0.0,0,#EA0D30
CS7,refactored_inline,refactored_move,0.0,0,#EA0D30
CS7,refactored_inline,refactored_rename,0.0,0,#EA0D30
CS7,refactored_inline,refactored_inline,0.0,0,#FCC168
CS7,refactored_inline,refactored_extract,0.0,0,#EA0D30
CS7,refactored_inline,argument_rename,0.0,0,#EA0D30
CS7,refactored_inline,argument_reorder,0.0,0,#EA0D30
CS7,refactored_inline,argument_add,0.0,0,#EA0D30
CS7,refactored_inline,argument_remove,0.0,0,#EA0D30
CS7,refactored_inline,argument_type_change,0.0,0,#EA0D30
CS7,refactored_inline,body,0.0,0,#48D373
CS7,refactored_inline,deleted,0.0,0,#EA0D30
CS7,refactored_extract,refactored_move,0.0,0,#EA0D30
CS7,refactored_extract,refactored_rename,0.0,0,#48D373
CS7,refactored_extract,refactored_inline,0.0,0,#EA0D30
CS7,refactored_extract,refactored_extract,0.0,0,#FCC168
CS7,refactored_extract,argument_rename,0.0,0,#48D373
CS7,refactored_extract,argument_reorder,0.0,0,#48D373
CS7,refactored_extract,argument_add,0.0,0,#EA0D30
CS7,refactored_extract,argument_remove,0.0,0,#EA0D30
CS7,refactored_extract,argument_type_change,0.0,0,#EA0D30
CS7,refactored_extract,body,0.0625,1,#EA0D30
CS7,refactored_extract,deleted,0.0,0,#EA0D30
CS7,argument_rename,refactored_move,0.0,0,#48D373
CS7,argument_rename,refactored_rename,0.0,0,#48D373
CS7,argument_rename,refactored_inline,0.0,0,#48D373
CS7,argument_rename,refactored_extract,0.0,0,#48D373
CS7,argument_rename,argument_rename,0.0,0,#FCC168
CS7,argument_rename,argument_reorder,0.0,0,#48D373
CS7,argument_rename,argument_add,0.0,0,#FCC168
CS7,argument_rename,argument_remove,0.0,0,#48D373
CS7,argument_rename,argument_type_change,0.0,0,#48D373
CS7,argument_rename,body,0.0,0,#48D373
CS7,argument_rename,deleted,0.0,0,#EA0D30
CS7,argument_reorder,refactored_move,0.0,0,#48D373
CS7,argument_reorder,refactored_rename,0.0,0,#48D373
CS7,argument_reorder,refactored_inline,0.0,0,#48D373
CS7,argument_reorder,refactored_extract,0.0,0,#48D373
