versions:android-7.0.0_r1,android-7.1.0_r1,cm-14.0
packages_screensavers_PhotoTable,https://android.googlesource.com/platform/packages/screensavers/PhotoTable,https://review.lineageos.org/LineageOS/android_packages_screensavers_PhotoTable
packages_screensavers_WebView,https://android.googlesource.com/platform/packages/screensavers/WebView,https://review.lineageos.org/LineageOS/android_packages_screensavers_WebView
packages_services_Car,https://android.googlesource.com/platform/packages/services/Car,https://review.lineageos.org/LineageOS/android_packages_services_Car
packages_services_Mms,https://android.googlesource.com/platform/packages/services/Mms,https://review.lineageos.org/LineageOS/android_packages_services_Mms
packages_services_Telecomm,https://android.googlesource.com/platform/packages/services/Telecomm,https://review.lineageos.org/LineageOS/android_packages_services_Telecomm
packages_services_Telephony,https://android.googlesource.com/platform/packages/services/Telephony,https://review.lineageos.org/LineageOS/android_packages_services_Telephony
packages_wallpapers_LivePicker,https://android.googlesource.com/platform/packages/wallpapers/LivePicker,https://review.lineageos.org/LineageOS/android_packages_wallpapers_LivePicker
prebuilts_gcc_darwin-x86_aarch64_aarch64-linux-android-4.9,https://android.googlesource.com/platform/prebuilts/gcc/darwin-x86/aarch64/aarch64-linux-android-4.9,https://review.lineageos.org/LineageOS/android_prebuilts_gcc_darwin-x86_aarch64_aarch64-linux-android-4.9
prebuilts_gcc_darwin-x86_arm_arm-linux-androideabi-4.9,https://android.googlesource.com/platform/prebuilts/gcc/darwin-x86/arm/arm-linux-androideabi-4.9,https://review.lineageos.org/LineageOS/android_prebuilts_gcc_darwin-x86_arm_arm-linux-androideabi-4.9
prebuilts_gcc_darwin-x86_x86_x86_64-linux-android-4.9,https://android.googlesource.com/platform/prebuilts/gcc/darwin-x86/x86/x86_64-linux-android-4.9,https://review.lineageos.org/LineageOS/android_prebuilts_gcc_darwin-x86_x86_x86_64-linux-android-4.9
prebuilts_gcc_linux-x86_aarch64_aarch64-linux-android-4.9,https://android.googlesource.com/platform/prebuilts/gcc/linux-x86/aarch64/aarch64-linux-android-4.9,https://review.lineageos.org/LineageOS/android_prebuilts_gcc_linux-x86_aarch64_aarch64-linux-android-4.9
prebuilts_gcc_linux-x86_arm_arm-linux-androideabi-4.9,https://android.googlesource.com/platform/prebuilts/gcc/linux-x86/arm/arm-linux-androideabi-4.9,https://review.lineageos.org/LineageOS/android_prebuilts_gcc_linux-x86_arm_arm-linux-androideabi-4.9
prebuilts_gcc_linux-x86_x86_x86_64-linux-android-4.9,https://android.googlesource.com/platform/prebuilts/gcc/linux-x86/x86/x86_64-linux-android-4.9,https://review.lineageos.org/LineageOS/android_prebuilts_gcc_linux-x86_x86_x86_64-linux-android-4.9
system_bt,https://android.googlesource.com/platform/system/bt,https://review.lineageos.org/LineageOS/android_system_bt
system_core,https://android.googlesource.com/platform/system/core,https://review.lineageos.org/LineageOS/android_system_core
system_extras,https://android.googlesource.com/platform/system/extras,https://review.lineageos.org/LineageOS/android_system_extras
system_keymaster,https://android.googlesource.com/platform/system/keymaster,https://review.lineageos.org/LineageOS/android_system_keymaster
system_media,https://android.googlesource.com/platform/system/media,https://review.lineageos.org/LineageOS/android_system_media
system_netd,https://android.googlesource.com/platform/system/netd,https://review.lineageos.org/LineageOS/android_system_netd
system_security,https://android.googlesource.com/platform/system/security,https://review.lineageos.org/LineageOS/android_system_security
system_sepolicy,https://android.googlesource.com/platform/system/sepolicy,https://review.lineageos.org/LineageOS/android_system_sepolicy
system_tools_aidl,https://android.googlesource.com/platform/system/tools/aidl,https://review.lineageos.org/LineageOS/android_system_tools_aidl
system_vold,https://android.googlesource.com/platform/system/vold,https://review.lineageos.org/LineageOS/android_system_vold
